BOARDING_KATANA,Boarding hat begonnen...
TEXT_TOOLTIP_MC90,Ein fortschrittlicher Mon Calamari-Sternenkreuzer, der dafür bekannt ist, eine Besatzung von nicht-amphibischen Arten aufnehmen zu können. Er wurde rein als Kriegsschiff konzipiert, mit Schwerpunkt auf schweren Waffen und großen Hangars als realistische Einschätzung der Fähigkeiten, die erforderlich sind, um gegen einen Imperial-Class Star Destroyer anzutreten. Er eignet sich gut zum Kampf gegen feindliche Großkampfschiffe und verfügt über signifikant mehr Feuerkraft als ein MC80b.
TEXT_TOOLTIP_MC90_HULL,Rumpf: 7500 (Capital)
TEXT_TOOLTIP_MC90_MOVE,Geschwindigkeit: 2,0 | Beschleunigung: 0,03 | Wendigkeit: 0,2
TEXT_TOOLTIP_MC90_SHIELD,Schilde: 9000 / [90/R] (Capital)
TEXT_TOOLTIP_MC90_SQUADRON,Jäger: 2 / 4
TEXT_TOOLTIP_MC90_WEAP1,8x Mittlere Turbolaser: 2 / 1.07s / 6.2km
TEXT_TOOLTIP_MC90_WEAP2,3x Schweres Ionenkanonen: 2 / 0.86s / 7.2km
TEXT_TOOLTIP_MC90_WEAP3,2x Protonentorpedos: 3 / 9.38s / 5.2km
TEXT_TOOLTIP_MEDIATOR,Ein leistungsstarkes Mon Calamari-Design, das gemeinsam mit dem Viscount Star Defender nach der Black Fleet Crisis entwickelt wurde, um die Gefahren großer Schiffe in feindlichen Händen aufzuzeigen. Erstmals im Osarian-Rhommamool-Konflikt eingesetzt, spielten Mediatoren wichtige Rollen im Vong-Krieg.
TEXT_TOOLTIP_MEDIATOR_HULL,Rumpf: 28875 (Capital)
TEXT_TOOLTIP_MEDIATOR_MOVE,Geschwindigkeit: 2,0 | Beschleunigung: 0,02 | Wendigkeit: 0,1
TEXT_TOOLTIP_MEDIATOR_RESEARCH,Durch Abschluss dieser Forschungsoption werden die Schlachtkreuzer Mediator freigeschaltet. Der Home One-Typ wird außer Dienst gestellt. Sian Tevvs Bonus - Bulwark III / Home One-Typ-Austausch wird gesperrt.
TEXT_TOOLTIP_MEDIATOR_SHIELD,Schilde: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_MEDIATOR_SQUADRON,Jäger: 2 / 4
TEXT_TOOLTIP_MEDIATOR_WEAP1,3x Ultrschwere Turbolaser: 2 / 5,0s / 8,7km
TEXT_TOOLTIP_MEDIATOR_WEAP2,12x Schwere Doppelturbolaser: 2 / 2,5s / 7,7km
TEXT_TOOLTIP_MEDIATOR_WEAP3,12x Mittlere Doppelturbolaser: 2 / 2,5s / 6,7km
TEXT_TOOLTIP_MEDIATOR_WEAP4,12x Schwere Doppel-Ionenkanonen: 2 / 2,5s / 7,7km
TEXT_TOOLTIP_MEDIATOR_WEAP5,12x Mittlere Doppel-Ionenkanonen: 2 / 2,5s / 6,7km
TEXT_TOOLTIP_MEGADOR,Vor ihrer Übernahme durch die Streitkräfte von Pellaeon waren Megador und ihr Schwesterschiff Dominion Teil der Zero Command-Streitkräfte von Blitzer Harrsk, obwohl ihm das Personal fehlte, um sie zu besetzen. Pellaeon nutzte beide Schiffe als Teil seiner Überraschungsoffensive gegen die Neue Republik in der Orinda-Kampagne und nutzte aus, dass die Neue Republik nicht wusste, dass die Schiffe existierten.
TEXT_TOOLTIP_MELVAR,Als fanatischer Anhänger von Imperator Palpatine und mit einer obsessiven Liebe zum Imperium wurde General Melvar nach der Schlacht von Endor zum Top-General von Kriegsherr Zsinj und führte zahlreiche Geheimdienstoperationen für seinen neuen Kommandanten durch. Berühmt-berüchtigt für seine extreme Grausamkeit ließ Melvar sich Implantate einsetzen, um sich seine Fingernägel durch scharfe Klingen zu ersetzen und sich so ein sofortiges Folterinstrument zu verschaffen.
TEXT_TOOLTIP_MENNDO,Menndo begann seine Karriere als Kopfgeldjäger, wie es viele Manne Rodianer tun, wechselte aber schnell zur Tätigkeit als Auftragsmörder und Spion, da er diese Arbeit als weitaus lukrativer empfand und dafür weniger Aufwand betreiben musste. Das Imperium war ein häufiger Arbeitgeber von Menndo, der oft beauftragt wurde, unliebsame hochrangige imperialistische Beamte zu töten.
TEXT_TOOLTIP_MENNDO_HEALTH,Gesundheit: 140 (Held)
TEXT_TOOLTIP_MENNDO_MOVE,Geschwindigkeit: 1.4
TEXT_TOOLTIP_MENNDO_WEAP1,1x Disruptor-Pistole: 1 / 5,0 s / 220 m
TEXT_TOOLTIP_MENNDO_WEAP2,1x Protonengranate: 1 / 15,0 s / 200 m
TEXT_TOOLTIP_MEPHITIS,Heimat der 481. Experimental-Sternenjäger-Test-Schwadron, die mit der Erprobung des tarnfähigen TIE Phantom betraut war. Die Mephitis und ihre kostbare Fracht wurden von Abteilungen von TIE-Abfangjägeren und TIE-Defendern bei dieser Aufgabe geschützt.
TEXT_TOOLTIP_MEPHITIS_SQUADRON,Jäger: 2 / 0
TEXT_TOOLTIP_MERIDIAN_I,Eine kleine Außenposten, der entworfen wurde, um die Eintrittswege in den Hapanischen Raum zu beobachten und die Präsenz der Krone in untergeordneten und ärmsten Gebieten unter der Kontrolle der Hapanischen Krone zu markieren. Die Meridian I ist in der Lage, kleine Angriffe und Überfälle abzuwehren, ist aber nicht für die Verteidigung gegen eine konzertierte Offensive geeignet.
TEXT_TOOLTIP_MERIDIAN_I_1,Patrouillen-Miytil-Jägerschwadron: 2 / 2
TEXT_TOOLTIP_MERIDIAN_I_2,Baidam-Korvette: 1 / 0
TEXT_TOOLTIP_MERIDIAN_I_HULL,Rumpf: 3200 (Schwerer Kreuzer)
TEXT_TOOLTIP_MERIDIAN_I_SHIELD,Schilde: 3700 / [27.75/R] (Großkampfschiff)
TEXT_TOOLTIP_MERIDIAN_I_WEAP1,6x mittlere Turbolaser: 2 / 3,0s / 7,2km
TEXT_TOOLTIP_MERIDIAN_I_WEAP2,6x leichte Doppel-Laserkanonen: 2 / 3,0s / 5,2km
TEXT_TOOLTIP_MERIDIAN_II,Eine mittelgroße Außenposten, die entworfen wurde, um die königliche Kontrolle über die stark frequentierten internen Hyperraumwege im Hapes-Cluster auszuüben und sie vor Angriffen zu schützen. Die Meridian II wird auch über Welten eingesetzt, die sich von der Stationierung eines solch geringen Vermögenswerts wie der Meridian I beleidigt fühlen würden, aber nicht wichtig genug sind, um den Einsatz bedeutenderer Vermögenswerte zu sehen.
TEXT_TOOLTIP_MERIDIAN_II_1,Patrouillen Miytil-Jägerschwadron: 2 / 2
TEXT_TOOLTIP_MERIDIAN_II_2,Miytil-Bomberschwadron: 1 / 2
TEXT_TOOLTIP_MERIDIAN_II_3,Baidam-Korvette: 1 / 1
TEXT_TOOLTIP_MERIDIAN_II_HULL,Rumpf: 5200 (Schwerfregatte)
TEXT_TOOLTIP_MERIDIAN_II_SHIELD,Schilde: 5300 / [39.75/R] (Großkampfschiff)
TEXT_TOOLTIP_MERIDIAN_II_WEAP1,6x mittlere Turbolaser: 2 / 3,0s / 7,2km
TEXT_TOOLTIP_MERIDIAN_II_WEAP2,6x mittlere Ionenkanonen: 2 / 3,0s / 7,2km
TEXT_TOOLTIP_MERIDIAN_II_WEAP3,6x leichte Doppel-Laserkanonen: 2 / 3,0s / 5,2km
TEXT_TOOLTIP_MERIDIAN_III,Eine vollwertige Kampfstation, die in der Lage ist, gegen Großkampfschiffe und fokussierte Angriffe mit ihrem Arsenal an Ionenkanonen und Turbolaser zu schützen. Die Meridian III wird über dem Großteil des Planeten des Hapes-Clusters eingesetzt, um sowohl seine Bewohner vor Angriffen zu schützen als auch sie an ihre Loyalität zur Krone zu erinnern.
TEXT_TOOLTIP_MERIDIAN_III_1,Patrouillen Miytil-Jägerschwadron: 2 / 2
TEXT_TOOLTIP_MERIDIAN_III_2,Miytil-Bomberschwadron: 1 / 2
TEXT_TOOLTIP_MERIDIAN_III_3,Baidam-Korvette: 2 / 2
TEXT_TOOLTIP_MERIDIAN_III_4,Beta-Kreuzer: 1 / 0
TEXT_TOOLTIP_MERIDIAN_III_HULL,Rumpf: 13500 (Großkampfschiff)
TEXT_TOOLTIP_MERIDIAN_III_SHIELD,Schilde: 13000 / [97,5/R] (Großkampfschiff)
TEXT_TOOLTIP_MERIDIAN_III_WEAP1,12x schwere Turbolaser: 2 / 2.0s / 8.4km
TEXT_TOOLTIP_MERIDIAN_III_WEAP2,6x Medium Dual Ion Cannons: 2 / 2,0s / 7,2km
TEXT_TOOLTIP_MERIDIAN_III_WEAP3,6x Light Dual Laser Cannons: 2 / 2,0s / 5,2km
TEXT_TOOLTIP_MERIDIAN_IV,Die größte der Meridian-Serie an Kampfstationen ist in der Lage, allen außer den intensivsten Angriffen mit ihrer Waffenausstattung und Sorties kleiner Schiffe, die von der Station selbst aus operieren, standzuhalten. Diese Stationen werden nur über den wichtigsten Welten eingesetzt, da nur wenige es sich leisten können, eine solche Investition selbst zu tätigen oder die Investition der Krone wert sind.
TEXT_TOOLTIP_MERIDIAN_IV_1,Patrouillenjäger-Geschwader Miytil: 2 / 4
TEXT_TOOLTIP_MERIDIAN_IV_2,Miytil-Bomber-Geschwader: 1 / 2
TEXT_TOOLTIP_MERIDIAN_IV_3,Baidam-Korvette: 2 / 2
TEXT_TOOLTIP_MERIDIAN_IV_4,Beta-Kreuzer: 1 / 1
TEXT_TOOLTIP_MERIDIAN_IV_5,Stella-Fregatte: 1 / 1
TEXT_TOOLTIP_MERIDIAN_IV_HULL,Rumpf: 23925 (Großkampfschiffschiff)
TEXT_TOOLTIP_MERIDIAN_IV_SHIELD,Schilde: 24000 / [180/R] (Großkampfschiffschiff)
TEXT_TOOLTIP_MERIDIAN_IV_WEAP1,18x Schwere Turbolaser: 2 / 2,0s / 8,4km
TEXT_TOOLTIP_MERIDIAN_IV_WEAP2,9x Schwere Ionkanonen: 2 / 1,5s / 8,4km
TEXT_TOOLTIP_MERIDIAN_IV_WEAP3,6x Medium Dual Laserkanonen: 2 / 2,0s / 5,9km
TEXT_TOOLTIP_MHG_TROOPER,Die Hausgarde des Adelshauses Maluri. Ein sehr traditionelles Haus, das seine Soldaten mit zeremonieller Projektilwaffen-Ausstattung und Kleidung ausrüstet, die ihre traditionellere Rolle bei zivilen Hilfe- und Öffentlichkeitsarbeiten widerspiegelt, wo ihr imposantes Erscheinungsbild eine beruhigende Wirkung auf die Bevölkerung hat. Die Soldaten von Maluri haben auch einen ungewöhnlich großen Prozentsatz an Mechanikern und Sanitätern, die ihre Heilerfahrung auf die Öffentlichkeit und das Schlachtfeld bringen.
TEXT_TOOLTIP_MHG_TROOPER_COMPANY,Kompanie: 40x - Maluri Hausgarde
TEXT_TOOLTIP_MHG_TROOPER_COMPANY_WEAP1,40x Projektilgewehr: 1 / 1,0s / 240m
TEXT_TOOLTIP_MHG_TROOPER_COMPANY_WEAP2,4x Thermogranate: 1 / 15,0s / 200m
TEXT_TOOLTIP_MHG_TROOPER_HEALTH,Leben: 16 (Infanterie)
TEXT_TOOLTIP_MHG_TROOPER_MOVE,Geschwindigkeit: 1,0
TEXT_TOOLTIP_MHG_TROOPER_PLATOON_OFFICER_HEALTH,Leben: 28 (Infanterie)
TEXT_TOOLTIP_MHG_TROOPER_SQUAD,Squad: 10x - Maluri-Hauswache
TEXT_TOOLTIP_MHG_TROOPER_SQUAD_OFFICER_HEALTH,Gesundheit: 22 (Infanterie)
TEXT_TOOLTIP_MHG_TROOPER_SQUAD_WEAP1,10x Schrotschussgewehr: 1 / 1,0s / 240m
TEXT_TOOLTIP_MHG_TROOPER_SQUAD_WEAP2,1x Erschütterungsgrenade: 1 / 15,0s / 200m
TEXT_TOOLTIP_MHG_TROOPER_WEAP1,1x Schrotschussgewehr: 1 / 1,0s / 240m
TEXT_TOOLTIP_MHG_TROOPER_WEAP2,1x Thermische Granate: 1 / 15,0s / 200m
TEXT_TOOLTIP_MIKTISS,Miktiss war ein Saurton-Krieger, der aufgrund illegaler Partisanenaktionen von seinem Heimatplaneten vertrieben wurde. Miktiss floh in den Kathol-Sektor, wo er eine kleine Flotte stahl und die Des'maric-Piraten gründete. Er verbündete sich mit dem Verbrecherboss Crev Bombaasa, obwohl Bombaasa plante, Miktiss durch seinen vertrauenswürdigen Saurton-Lieutenant Ginzet zu ersetzen.
TEXT_TOOLTIP_MIKTISS_INTERCEPTOR4_FRIGATE_SPECIAL,Besonderheit: Miktiss-Geschwader
TEXT_TOOLTIP_MILLENNIUM_FALCON,Han Solos stark modifizierter YT-1300-Frachter aus Corellia. Er ist sehr schnell und hochmanövrierfähig, mit Waffen, die einem viel größeren Schiff ebenbürtig sind.
TEXT_TOOLTIP_MILLENNIUM_FALCON_HULL,Rumpf: 400 (Kanonenboot)
TEXT_TOOLTIP_MILLENNIUM_FALCON_MOVE,Geschwindigkeit: 6,0 | Beschleunigung: 0,3 | Wendigkeit: 2,0
TEXT_TOOLTIP_MILLENNIUM_FALCON_SHIELD,Schilde: 400 / [8/R] (Kanonenboot)
TEXT_TOOLTIP_MILLENNIUM_FALCON_WEAP1,2x Schwere Jäger-Laserkanonen: 4 / 2,0s / 2,0km
TEXT_TOOLTIP_MILLENNIUM_FALCON_WEAP2,1x Jäger-Angriffserschütterungsrakete (AC): 1 / 37,5s / 3,0km
TEXT_TOOLTIP_MINICOUNT,Verkleinerte Proof-of-Concept-Schlachtkreuzer, hergestellt bevor die Neue Republik einem Star Defender in voller Größe zustimmte. Ähnlich im Design und Form wie der spätere Viscount, aber wesentlich weniger leistungsstark, näher an vorhandenen Moncal-Designs.
TEXT_TOOLTIP_MINICOUNT_HULL,Rumpf: 22990 (Großkampfschiff)
TEXT_TOOLTIP_MINICOUNT_MOVE,Geschwindigkeit: 1,5 | Beschleunigung: 0,01 | Wendigkeit: 0,1
TEXT_TOOLTIP_MINICOUNT_SHIELD,Schilde: 24000 / [120/R] (Großkampfschiff)
TEXT_TOOLTIP_MINICOUNT_SQUADRON,Jäger: 3 / 3 | Bomber: 1 / 1
TEXT_TOOLTIP_MINICOUNT_WEAP1,12x Schwere Turbolaser: 2 / 0.96s / 7.6km
TEXT_TOOLTIP_MINICOUNT_WEAP2,12x Mittlere Turbolaser: 2 / 0.96s / 6.6km
TEXT_TOOLTIP_MINICOUNT_WEAP3,3x Schwere Ionenkanonen: 2 / 1.0s / 7.6km
TEXT_TOOLTIP_MINICOUNT_WEAP4,6x Schwere Laserkanonen: 2 / 0.6s / 5.1km
TEXT_TOOLTIP_MINICOUNT_WEAP5,2x Angriffskonzussionsraketen: 2 / 1.2s / 7.6km
TEXT_TOOLTIP_MIRAX,Mirax war die Tochter des berüchtigten Corellianischen Schmugglers Booster Terrik und eine Kindheitsfreundin von Wedge Antilles. Nachdem ihr Vater von Hal Horn verhaftet und zu harter Arbeit auf Kessel verurteilt wurde, übernahm die junge Mirax Terriks umfangreiche Operation und wandelte sie in ein profitables und fast vollständig legitimes Geschäft um. Ihre Freundschaft mit Wedge führte dazu, dass sie Rogue Squadron bei mehreren Gelegenheiten unterstützte. Dort traf sie Corran Horn und begann, entgegen dem Willen ihres Vaters, eine Beziehung mit dem Sohn des Mannes, der ihn verhaftet hatte.
TEXT_TOOLTIP_MIREILLE,Mireille 'Miri' Nem is one of the New Republic's youngest leaders. Nem has held command over several units; from Alliance commando groups, to entire naval task forces. She is most notable for her major part in hunting down the Eclipse.
TEXT_TOOLTIP_MISSILE_BOAT, Ein fortschrittlicher Cygnus-Sternenjäger, der eingesetzt wurde, um den abtrünnigen Großadmiral Zaarin's TIE-Verteidigern entgegenzuwirken. Sie sind gut verteidigt, agil, schnell und mit einer erstaunlich großen Bombenladung ausgestattet, obwohl sie nur mit einem einzigen Laserkanonen bewaffnet sind.
TEXT_TOOLTIP_MIST, Entwickelt parallel zum Magnetar-Kampfträger ist die offensive Fähigkeit der Mist fast ausschließlich von ihrer an Bord befindlichen Angriffsgruppe abhängig, da ihre internen Waffensysteme schlecht sind. Diese mangelnde offensive Fähigkeit bedeutete, dass die Mist nie ein beliebtes Design für die Hapanische Königliche Marine war und ihre Offiziere eine Versetzung zu einem Mist-Träger oft als Strafe oder als Zeichen der Missbilligung von ihren Vorgesetzten betrachteten. Trotzdem machen ihre starken Schilde und großen Hangarbucht die Mist zu einem fähigen dedizierten Träger, was bedeutet, dass sie immer noch bemerkenswert genutzt wird.
TEXT_TOOLTIP_MIST_HULL,Rumpf: 6200 (Capital)
TEXT_TOOLTIP_MIST_MOVE,Geschwindigkeit: 2,0 | Beschleunigung: 0,02 | Drehung: 0,2
TEXT_TOOLTIP_MIST_SHIELD,Schilde: 6000 / [45/R] (Capital)
TEXT_TOOLTIP_MIST_SQUADRON,Jäger: 2 / 4 | Bomber: 2 / 4
TEXT_TOOLTIP_MIST_WEAP1,4x Mittlere Doppel-Turbolaser: 2 / 2,0s / 6,2km
TEXT_TOOLTIP_MIST_WEAP2,2x Schwere Vierfach-Laserkanonen: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_MIXED_TIE_DEFENDER_INTERCEPTOR,Ein gemischtes Geschwader aus TIE-Verteidigern des 29. Fast-Angriffs-Geschwaders und TIE/IN-Abfangjägern des 92. Abfangjäger-Geschwaders.
TEXT_TOOLTIP_MIYTIL_BOMBER,Ein mittelschwerer Bomber, der einzigartig für das Hapes-Konsortium ist und auf dem Jäger basiert, mit dem es seinen Namen teilt. Er wurde auf Befehl von Offizieren entwickelt, da das Miy'til-Jäger nicht jede Rolle auf dem Schlachtfeld effizient ausführen konnte. Er eignet sich gut zum Kampf gegen feindliche Großkampfschiffe.
TEXT_TOOLTIP_MIYTIL_FIGHTER,Ein stark bewaffnetes Jäger, das einzigartig für das Hapes-Konsortium ist. Es wurde nach einer bedeutenden Anzahl von Sternjäger-Ingenieuren in den Konsortiums-Flotten und der königlichen Marine eingeführt, die nach den Klonkriegen dorthin geflohen waren. Es eignet sich gut zum Kampf gegen feindliche Jäger oder zur Unterstützung gegen größere Schiffe.
TEXT_TOOLTIP_MMT,Der MMT ist langsam, aber schwer gepanzert und mit einem langsam feuernden, aber extrem zerstörerischen Megamaser-Kanone bewaffnet.
TEXT_TOOLTIP_MMT_COMPANY,Kompanie: 2x - Megamaser-Panzer
TEXT_TOOLTIP_MMT_HEALTH,Gesundheit: 500 (Schweres Fahrzeug)
TEXT_TOOLTIP_MMT_MOVE,Geschwindigkeit: 0.75 | Drehung: 2.0
TEXT_TOOLTIP_MMT_WEAP1,1x Schweres AP-Megamaser-Strahlgeschütz: 1 / 13.0s / 640m
TEXT_TOOLTIP_MMT_WEAP2,2x AP-Turbolaser: 1 / 5.0s / 480m
TEXT_TOOLTIP_MOLDYCROW_HULL,Rumpf: 500 (Kanonenboot)
TEXT_TOOLTIP_MOLDYCROW_MOVE,Geschwindigkeit: 5.5 | Beschleunigung: 0.07 | Drehung: 5.0
TEXT_TOOLTIP_MOLDYCROW_SHIELD,Schilde: 300 / [6/R] (Kanonenboot)
TEXT_TOOLTIP_MOLDYCROW_WEAP1,1x Jäger-Laserkanone: 8 / 2.0s / 2.0km
TEXT_TOOLTIP_MOLDYCROW_WEAP2,1x Jäger-Laserkanone: 2 / 2.0s / 2.0km
TEXT_TOOLTIP_MON_CALAMARI_CRUISER,TRANSLATE:An Alliance-era Mon Calamari starship retrofitted for action as a moderately armed ship of the line. The Liberty-type was originally designed for civilian use or to be converted into warships despite being built to civilian specifications. It is well protected due to Mon Calamari shield technologies and a large amount of redundant emitters, but it is lacking in firepower compared to similarly sized vessels. It is best used as a cheap or low-priority line cruiser until other options are available.
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_HULL,TRANSLATE:Hull: 2940 (Heavy Frigate)
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_MOVE,TRANSLATE:Speed: 2.5 | Accel: 0.04 | Turn: 0.45
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_SHIELD,TRANSLATE:Shields: 5000 / [50/R] (Capital)
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_SQUADRON,TRANSLATE:Fighters: 1 / 1 | Bombers: 1 / 1
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_WEAP1,TRANSLATE:8x Medium Turbolasers: 2 / 1.67s / 6.2km
TEXT_TOOLTIP_MON_CALAMARI_CRUISER_WEAP2,TRANSLATE:4x Medium Ion Cannons: 2 / 2.0s / 6.2km
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_HULL,Rumpf: 3750 (Schwerfregatte)
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_SHIELD,Schilde: 5500 / [55/R] (Großkampfschiffschiff)
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_SQUADRON,Jäger: 3 / 3 | Bomber: 2 / 2
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_WEAP1,6x Mittlere Doppelturbolaser: 2 / 2,5s / 6,2 km
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_WEAP2,4x Mittlere Ionenkanonen: 2 / 2,0s / 6,2 km
TEXT_TOOLTIP_MON_CALAMARI_JUSTICE_WEAP3,2x Protonentorpedos: 1 / 3,0s / 5,2 km
TEXT_TOOLTIP_MORTAR,Der Mörser dient als schwere Artillerie des Imperiums der Hand. Obwohl er nicht über die Anti-Personen-Blaster des Imperial SPMA verfügt, ist er etwas schneller und schwerer gepanzert.
TEXT_TOOLTIP_MORTAR_COMPANY,Kompanie: 1x - Mörser-TAT
TEXT_TOOLTIP_MORTAR_HEALTH,Gesundheit: 100 (Schweres Fahrzeug)
TEXT_TOOLTIP_MORTAR_MOVE,Geschwindigkeit: 1,0 | Wendigkeit: 1,0
TEXT_TOOLTIP_MORTAR_WEAP1,1x Artilleriegeschütz: 1 / 8,33s / 1440m
TEXT_TOOLTIP_MOTHMA_EFFECT,Effekt: Zusätzliche Schiffsmannschaften (+10%), Chandrilas Einfluss maximiert
TEXT_TOOLTIP_MPTL,Mobilie Protonentorpedowerfer ausgestattet mit 9 Torpedowerfern, die in der Lage sind, Ziele auf sehr große Entfernung zu zerstören. Er muss sich entladen, um zu feuern, und wird von einem Spotter-Droiden begleitet, der bei der Suche nach Zielen hilft.
TEXT_TOOLTIP_MPTL_COMPANY,Trupp: 1x - MPTL-2a | 2x - Spotter-Droide
TEXT_TOOLTIP_MPTL_HEALTH,Gesundheit: 150 (Schweres Fahrzeug)
TEXT_TOOLTIP_MPTL_MOVE,Geschwindigkeit: 0,75 | Wendigkeit: 2,0
TEXT_TOOLTIP_MPTL_WEAP1,1x Protonenrakete: 9 / 16,66s / 1440m
TEXT_TOOLTIP_MTC_COMBAT,Eine äußerst vielseitige Schiffsvariante, die vom Haus Tagge entworfen wurde und mit einem Kampfeinsatzmodul ausgestattet ist. Der zusätzliche Einsatz von Turbolasern und einigen Protonentorpedowerfern machen dieses Schiff zu einem fähigen Kämpfer. Das Kampfmodul fügt auch etwas dringend benötigte stabilkeit hinzu, wenn von diesem Unterstützungsschiff erwartet wird, in der Schlachtlinie zu stehen.
TEXT_TOOLTIP_MTC_COMBAT_HULL,Rumpf: 3060 (Schwere Fregatte)
TEXT_TOOLTIP_MTC_COMBAT_MOVE,Geschwindigkeit: 2,75 | Beschleunigung: 0,03 | Wendigkeit: 0,35
TEXT_TOOLTIP_MTC_COMBAT_SHIELD,Schilde: 3000 / [45/R] (Schwere Fregatte)
TEXT_TOOLTIP_MTC_COMBAT_SQUADRON,Jäger: 1 / 1
TEXT_TOOLTIP_MTC_COMBAT_WEAP1,4x mittlere Doppelturbolaser: 2 / 2,5s / 6,2km
TEXT_TOOLTIP_MTC_COMBAT_WEAP2,4x mittlere Turbolaser: 2 / 2,7s / 6,2km
TEXT_TOOLTIP_MTC_COMBAT_WEAP3,2x Protonentorpedos: 2 / 10,0s / 5,2km
TEXT_TOOLTIP_MTC_SENSOR,Eine äußerst vielseitige Schiffsvariante, die vom Haus Tagge entworfen wurde und mit einem Sensoreinsatzmodul ausgestattet ist. Während ihr primärer Einsatz darin besteht, bei Geheimdienstoperationen zu helfen, ist zu erwarten, dass solche Operationen sie in die Schlacht verwickeln könnten. Dort können ihre Sensoren Zielerfassungsdaten an alliierte Schiffe weitergeben, während das MTC selbst eine respektable, wenn auch kleine Bewaffnung hat.
TEXT_TOOLTIP_MTC_SENSOR_HULL,Rumpf: 2200 (Schwere Fregatte)
TEXT_TOOLTIP_MTC_SENSOR_MOVE,Geschwindigkeit: 1,75 | Beschleunigung: 0,02 | Wendigkeit: 0,3
TEXT_TOOLTIP_MTC_SENSOR_SHIELD,Schilde: 3600 / [54/R] (Schwere Fregatte)
TEXT_TOOLTIP_MTC_SENSOR_SQUADRON,Jäger: 2 / 2
TEXT_TOOLTIP_MTC_SENSOR_WEAP1,4x mittlere Turbolaser: 2 / 2,7 s / 6,2 km
TEXT_TOOLTIP_MTC_SENSOR_WEAP2,2x mittlere Doppel-Laserkanonen: 2 / 0,5 s / 4,2 km
TEXT_TOOLTIP_MTC_SENSOR_WEAP3,1x Angriffs-Erschütterungsrakete: 1 / 7,5 s / 7,2 km
TEXT_TOOLTIP_MTC_SUPPORT,Ein modernes imperialles Unterstützungsschiff, geeignet für leichte Kampfaufgaben. Diese MTC-Variante befehligt eine beträchtliche Gruppe von Sternenjägern und eignet sich für Flottentender-Aufgaben.
TEXT_TOOLTIP_MTC_SUPPORT_HULL,Rumpf: 1950 (Schwere Fregatte)
TEXT_TOOLTIP_MTC_SUPPORT_MOVE,Geschwindigkeit: 1,75 | Beschleunigung: 0,02 | Wende: 0,3
TEXT_TOOLTIP_MTC_SUPPORT_SHIELD, Schilde: 2400 / [36/R] (Schwere Fregatte)
TEXT_TOOLTIP_MTC_SUPPORT_SQUADRON,Jäger: 1,5 / 1,5 | Bomber: 1 / 2
TEXT_TOOLTIP_MTC_SUPPORT_WEAP1,4x mittlere Turbolaser: 2 / 2,7 s / 6,2 km
TEXT_TOOLTIP_MUQARAEA,Eine kleine Korvette, die von einer der vielen Mitgliedsspezies des Imperium of the Hand zur Abfangjagd und Anti-Jäger-Piraterie eingesetzt wird.
TEXT_TOOLTIP_MUQARAEA_HULL,Rumpf: 900 (Korvette)
TEXT_TOOLTIP_MUQARAEA_MOVE,Geschwindigkeit: 3,5 | Beschleunigung: 0,05 | Wende: 2,0
TEXT_TOOLTIP_MUQARAEA_PD,Punktverteidigung: 1 / 0,23 s / 1,5 km
TEXT_TOOLTIP_MUQARAEA_SHIELD,Schilde: 800 / [18/R] (Korvette)
TEXT_TOOLTIP_MUQARAEA_WEAP1,5x mittlere Doppel-Laserkanonen: 6 / 2,5 s / 3,5 km
TEXT_TOOLTIP_MUZZER,Muzzer war ein Großmoff im Zentralausschuss der Großmoffs, der Trioculus' Machtübernahme nach Endor unterstützte, obwohl er skeptisch gegenüber Trioculus' Wunsch war, den Handschuh von Darth Vader zu finden. Muzzer wurde auch von dem persönlichen Kopfgeldjäger von Zorba Desilijic Tiure verletzt, als das Moff-Schiff mit dem Zorba Express andockte.
TEXT_TOOLTIP_NABYL,Versorgungsschiffkapitän, der oft damit beauftragt wird, sich bei Einsätzen um die Night Caller zu kümmern. Berühmt für die Erkrankung seiner Mannschaft an Bunkard-Kanalsyndrom und die Quarantäne als Folge der Aktionen des Wraith Squadrons.
TEXT_TOOLTIP_NAMANA,Leichtes Eskortschiff, benannt nach einer süchtig machenden lokalen Frucht. Soll größere Zerstörer flankieren und andere kleine Schiffe unterstützen.
TEXT_TOOLTIP_NAMANA_HULL,Rumpf: 1000 (Fregatte)
TEXT_TOOLTIP_NAMANA_MOVE,Geschwindigkeit: 4.5 | Beschleunigung: 0.5 | Wendigkeit: 0.5
TEXT_TOOLTIP_NAMANA_SHIELD,Schilde: 1400 / [21/R] (Fregatte)
TEXT_TOOLTIP_NAMANA_SQUADRON,Jäger: 0.5 / 0.5
